Month,E,U,Us
"Jun
1976",88563,7322,2787
"Jul
1976",89093,7490,2965
"Aug
1976",89223,7518,2893
"Sep
1976",89173,7380,2910
"Oct
1976",89274,7430,2945
"Nov
1976",89634,7620,2826
"Dec
1976",89803,7545,2921
"Jan
1977",89928,7280,2894
"Feb
1977",90342,7443,3015
"Mar
1977",90808,7307,2993
"Apr
1977",91271,7059,3015
"May
1977",91754,6911,2754
"Jun
1977",91959,7134,3138
"Jul
1977",92084,6829,2859
"Aug
1977",92441,6925,2896
"Sep
1977",92702,6751,2883
"Oct
1977",93052,6763,2883
"Nov
1977",93761,6815,2924
"Dec
1977",94105,6386,2729
"Jan
1978",94384,6489,2824
"Feb
1978",94519,6318,2764
"Mar
1978",94755,6337,2871
"Apr
1978",95394,6180,2750
"May
1978",95769,6127,2870
"Jun
1978",96343,6028,2788
"Jul
1978",96090,6309,3069
"Aug
1978",96431,6080,2858
"Sep
1978",96670,6125,2941
"Oct
1978",97133,5947,2786
"Nov
1978",97485,6077,2903
"Dec
1978",97581,6228,2978
"Jan
1979",97948,6109,2791
"Feb
1979",98329,6173,2899
"Mar
1979",98480,6109,2843
"Apr
1979",98103,6069,2938
"May
1979",98331,5840,2773
"Jun
1979",98679,5959,2947
"Jul
1979",99006,5996,2890
"Aug
1979",98776,6320,3296
"Sep
1979",99340,6190,2946
"Oct
1979",99404,6296,3039
"Nov
1979",99574,6238,3030
"Dec
1979",99933,6325,3013
"Jan
1980",99879,6683,3215
"Feb
1980",99995,6702,3134
"Mar
1980",99713,6729,3097
"Apr
1980",99233,7358,3374
"May
1980",98945,7984,3754
"Jun
1980",98682,8098,3409
"Jul
1980",98796,8363,3458
"Aug
1980",98824,8281,3415
"Sep
1980",99077,8021,3150
"Oct
1980",99317,8088,3236
"Nov
1980",99545,8023,3146
"Dec
1980",99634,7718,3097
"Jan
1981",99955,8071,3318
"Feb
1981",100191,8051,3287
"Mar
1981",100571,7982,3328
"Apr
1981",101056,7869,3185
"May
1981",101048,8174,3409
"Jun
1981",100298,8098,3340
"Jul
1981",100693,7863,3307
"Aug
1981",100689,8036,3320
"Sep
1981",100064,8230,3493
"Oct
1981",100378,8646,3656
"Nov
1981",100207,9029,3812
"Dec
1981",99645,9267,3949
"Jan
1982",99692,9397,3924
"Feb
1982",99762,9705,3808
"Mar
1982",99672,9895,3896
"Apr
1982",99576,10244,3951
"May
1982",100116,10335,3885
"Jun
1982",99543,10538,3606
"Jul
1982",99493,10849,3929
"Aug
1982",99633,10881,3895
"Sep
1982",99504,11217,3966
"Oct
1982",99215,11529,3873
"Nov
1982",99112,11938,3974
"Dec
1982",99032,12051,3939
"Jan
1983",99161,11534,3654
"Feb
1983",99089,11545,3717
"Mar
1983",99179,11408,3502
"Apr
1983",99560,11268,3539
"May
1983",99642,11154,3531
"Jun
1983",100633,11246,3686
"Jul
1983",101208,10548,3459
"Aug
1983",101608,10623,3632
"Sep
1983",102016,10282,3768
"Oct
1983",102039,9887,3491
"Nov
1983",102729,9499,3347
"Dec
1983",102996,9331,3455
"Jan
1984",103201,9008,3309
"Feb
1984",103824,8791,3327
"Mar
1984",103967,8746,3335
"Apr
1984",104336,8762,3362
"May
1984",105193,8456,3167
"Jun
1984",105591,8226,3261
"Jul
1984",105435,8537,3392
"Aug
1984",105163,8519,3567
"Sep
1984",105490,8367,3325
"Oct
1984",105638,8381,3423
"Nov
1984",105972,8198,3392
"Dec
1984",106223,8358,3371
"Jan
1985",106302,8423,3667
"Feb
1985",106555,8321,3471
"Mar
1985",106989,8339,3519
"Apr
1985",106936,8395,3499
"May
1985",106932,8302,3503
"Jun
1985",106505,8460,3538
"Jul
1985",106807,8513,3555
"Aug
1985",107095,8196,3439
"Sep
1985",107657,8248,3494
"Oct
1985",107847,8298,3424
"Nov
1985",108007,8128,3463
"Dec
1985",108216,8138,3393
"Jan
1986",108887,7795,3333
"Feb
1986",108480,8402,3516
"Mar
1986",108837,8383,3540
"Apr
1986",108952,8364,3598
"May
1986",109089,8439,3586
"Jun
1986",109576,8508,3489
"Jul
1986",109810,8319,3446
"Aug
1986",110015,8135,3439
"Sep
1986",110085,8310,3405
"Oct
1986",110273,8243,3416
"Nov
1986",110475,8159,3343
"Dec
1986",110728,7883,3297
"Jan
1987",110953,7892,3390
"Feb
1987",111257,7865,3323
"Mar
1987",111408,7862,3386
"Apr
1987",111794,7542,3162
"May
1987",112434,7574,3315
"Jun
1987",112246,7398,3167
"Jul
1987",112634,7268,3217
"Aug
1987",113057,7261,3191
"Sep
1987",112909,7102,3224
"Oct
1987",113282,7227,3241
"Nov
1987",113505,7035,3172
"Dec
1987",113793,6936,3178
"Jan
1988",114016,6953,3086
"Feb
1988",114227,6929,3057
"Mar
1988",114037,6876,3042
"Apr
1988",114650,6601,3107
"May
1988",114292,6779,3095
"Jun
1988",114927,6546,3101
"Jul
1988",115060,6605,2998
"Aug
1988",115282,6843,3172
"Sep
1988",115356,6604,3152
"Oct
1988",115638,6568,3106
"Nov
1988",116100,6537,3097
"Dec
1988",116104,6518,2972
"Jan
1989",116708,6682,3146
"Feb
1989",116776,6359,3194
"Mar
1989",117022,6205,3042
"Apr
1989",117097,6468,3110
"May
1989",117099,6375,3052
"Jun
1989",117418,6577,3303
"Jul
1989",117472,6495,3173
"Aug
1989",117655,6511,3090
"Sep
1989",117354,6590,3214
"Oct
1989",117581,6630,3218
"Nov
1989",117912,6725,3247
"Dec
1989",117830,6667,3275
"Jan
1990",119081,6752,3189
"Feb
1990",119059,6651,3223
"Mar
1990",119203,6598,3206
"Apr
1990",118852,6797,3269
"May
1990",119151,6742,3117
"Jun
1990",118983,6590,3151
"Jul
1990",118810,6922,3221
"Aug
1990",118802,7188,3320
"Sep
1990",118524,7368,3280
